mode;system-status;armed;is-armable;ekf-ok
GUIDED;STANDBY;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;ACTIVE;true;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
AUTO;STANDBY;false;false;false
